COMPENSATION_ID,PERIOD_START,PERIOD_END,LOBBYIST_ID,COMPENSATION_AMOUNT,CLIENT_ID,CREATED_DATE
21,2012-01-01,2012-06-30,5659,900,12063,2012-08-02
22,2012-01-01,2012-06-30,5548,5000,11700,2012-08-02
23,2012-01-01,2012-06-30,5773,25000,12296,2012-08-02
24,2012-01-01,2012-06-30,5800,5000,12425,2012-08-02
25,2012-01-01,2012-06-30,6061,3000,12963,2012-08-02
26,2012-01-01,2012-06-30,7781,20000,12145,2012-08-02
29,2012-01-01,2012-06-30,6022,3850,12890,2012-08-02
30,2012-01-01,2012-06-30,7730,5000,12944,2012-08-02
32,2012-01-01,2012-06-30,6964,1500,12626,2012-08-02
33,2012-01-01,2012-06-30,7106,5000,12789,2012-08-02
35,2012-01-01,2012-06-30,7106,6500,12788,2012-08-02
36,2012-01-01,2012-06-30,5860,1000,12551,2012-08-02
37,2012-01-01,2012-06-30,5860,1000,12552,2012-08-02
39,2012-01-01,2012-06-30,5860,1000,12550,2012-08-02
40,2012-01-01,2012-06-30,5860,300,12549,2012-08-02
62,2012-01-01,2012-06-30,5982,6250,12815,2012-08-03
64,2012-01-01,2012-06-30,7883,4500,12623,2012-08-03
65,2012-01-01,2012-06-30,7883,15000,12837,2012-08-03
66,2012-01-01,2012-06-30,7883,7500,12625,2012-08-03
67,2012-01-01,2012-06-30,7883,7500,12630,2012-08-03
68,2012-01-01,2012-06-30,7883,15000,14204,2012-08-03
69,2012-01-01,2012-06-30,7883,5000,12376,2012-08-03
70,2012-01-01,2012-06-30,7883,5000,12629,2012-08-03
77,2012-01-01,2012-06-30,6976,1000,12583,2012-08-03
80,2012-01-01,2012-06-30,6007,2404,12843,2012-08-03
81,2012-01-01,2012-06-30,7885,2000,12863,2012-08-03
82,2012-01-01,2012-06-30,7885,2000,12861,2012-08-03
83,2012-01-01,2012-06-30,7885,1000,12866,2012-08-03
84,2012-01-01,2012-06-30,7885,2000,12856,2012-08-03
85,2012-01-01,2012-06-30,7885,2000,12859,2012-08-03
86,2012-01-01,2012-06-30,7885,2000,12860,2012-08-03
87,2012-01-01,2012-06-30,7885,2000,12865,2012-08-03
88,2012-01-01,2012-06-30,7885,4000,12858,2012-08-03
89,2012-01-01,2012-06-30,7885,2000,12855,2012-08-03
90,2012-01-01,2012-06-30,7885,2000,12864,2012-08-03
91,2012-01-01,2012-06-30,7886,2000,12864,2012-08-03
92,2012-01-01,2012-06-30,7886,4000,12858,2012-08-03
93,2012-01-01,2012-06-30,7886,2000,12856,2012-08-03
94,2012-01-01,2012-06-30,7886,2000,12859,2012-08-03
95,2012-01-01,2012-06-30,7886,2000,12861,2012-08-03
96,2012-01-01,2012-06-30,7886,2000,12855,2012-08-03
97,2012-01-01,2012-06-30,7886,1000,12866,2012-08-03
98,2012-01-01,2012-06-30,7886,2000,12865,2012-08-03
99,2012-01-01,2012-06-30,5680,7215,12098,2012-08-03
100,2012-01-01,2012-06-30,5651,850,12047,2012-08-03
101,2012-01-01,2012-06-30,5642,11200,12034,2012-08-03
102,2012-01-01,2012-06-30,6124,2375,13108,2012-08-03
103,2012-01-01,2012-06-30,5941,40000,12717,2012-08-03
121,2012-01-01,2012-06-30,5601,5000,11819,2012-08-06
122,2012-01-01,2012-06-30,5601,1000,11816,2012-08-06
123,2012-01-01,2012-06-30,5601,2500,11811,2012-08-06
124,2012-01-01,2012-06-30,5601,2500,11822,2012-08-06
125,2012-01-01,2012-06-30,5601,5000,11804,2012-08-06
134,2012-01-01,2012-06-30,7836,1000,12873,2012-08-06
135,2012-01-01,2012-06-30,7836,1000,12876,2012-08-06
