CONTRIBUTION_ID,PERIOD_START,PERIOD_END,CONTRIBUTION_DATE,RECIPIENT,AMOUNT,LOBBYIST_ID,CREATED_DATE
21,2012-01-01,2012-06-30,2012-02-09,"Freinds of Forti",150,5860,2012-08-02
41,2012-01-01,2012-06-30,2012-04-01,"Citizens for Zalewski",500,5746,2012-08-03
42,2012-01-01,2012-06-30,2012-06-05,"25th Ward Regular Democratic Party",125,5817,2012-08-03
43,2012-01-01,2012-06-30,2012-06-05,"25th Ward Regular Democratic Party",125,5567,2012-08-03
44,2012-01-01,2012-06-30,2012-03-22,"The Burnham Committee",1500,6076,2012-08-03
61,2012-01-01,2012-06-30,2012-06-14,"Friends of Will Burns",75,5846,2012-08-06
81,2012-01-01,2012-06-30,2012-05-31,"Will Burns",300,5975,2012-08-07
82,2012-01-01,2012-06-30,2012-02-08,"Alderman Ricardo Munoz",500,5536,2012-08-07
83,2012-01-01,2012-06-30,2012-02-23,"Alderman Ed Burke",250,5536,2012-08-07
84,2012-01-01,2012-06-30,2012-03-14,"Alderman Brendan Reilly",150,5536,2012-08-07
85,2012-01-01,2012-06-30,2012-04-03,"Alderman Michael Zalewski",250,5536,2012-08-07
86,2012-01-01,2012-06-30,2012-06-08,"Alderman Richard Mell",150,5536,2012-08-07
101,2012-01-01,2012-06-30,2012-02-04,"Alderman Joe Moreno",250,5796,2012-08-07
102,2012-01-01,2012-06-30,2012-03-23,"Alderman Walter Burnett",250,5796,2012-08-07
103,2012-01-01,2012-06-30,2012-04-06,"Burnham Committee",1500,5796,2012-08-07
121,2012-01-01,2012-06-30,2012-06-05,"Alderman Patrick O'Connor",500,8061,2012-08-08
122,2012-01-01,2012-06-30,2012-02-07,"Alderman Richard Mell",300,8061,2012-08-08
123,2012-01-01,2012-06-30,2012-03-02,"Alderman Proco Joe Moreno",250,8061,2012-08-08
124,2012-01-01,2012-06-30,2012-06-05,"Alderman Richard Munoz",250,8061,2012-08-08
125,2012-01-01,2012-06-30,2012-06-05,"Alderman Will Burns",500,8061,2012-08-08
