EXPENDITURE_ID,PERIOD_START,PERIOD_END,LOBBYIST_ID,ACTION,AMOUNT,EXPENDITURE_DATE,PURPOSE,RECIPIENT,CLIENT_ID,CREATED_DATE
21,2012-01-01,2012-06-30,6061,"food trucks, living wages, self-inspections, Service Sanitation managers",6600,2012-06-30,"Lobbying and legislation tracking","Mary Kay Minighan 308 Circle Ave.  Forrest Park, IL  60130",12963,2012-08-02
41,2012-01-01,2012-06-30,6007,"Municipal Bond issues",421,2012-01-25,"Airfare to/from meeting","Delta Air Lines, Inc  1030 Delta Boulevard, Atlanta GA  30320 - Airline",12843,2012-08-03
61,2012-01-01,2012-06-30,5556,"municipal finance",347,2012-06-10,airfare,"United Airlines",11721,2012-08-03
62,2012-01-01,2012-06-30,5556,"municipal finance",295,2012-06-18,airfare,"Delta Airlines",11721,2012-08-03
63,2012-01-01,2012-06-30,5556,"municipal finance",592,2012-04-16,airfare,"American Airlines",11721,2012-08-03
81,2012-01-01,2012-06-30,5574,"General relationship management meeting with specific focus on public finance and gaming opportunities with the City of Chicago",618,2012-02-17,"travel expenses","Continental Airlines",11746,2012-08-06
101,2012-01-01,2012-06-30,5975,"application for Special Use, 70 E. Garfield",525,2012-01-31,"Filing fee","City of Chicago Dept. of Revenue",12797,2012-08-07
121,2012-01-01,2012-06-30,5887,insurance,495,2012-04-20,Airfare,"Ultimate Air Shuttle Cibncinnatim, OH  Air Charter Service",12597,2012-08-07
122,2012-01-01,2012-06-30,5887,insurance,313,2012-06-01,hotel,"Tremont Hotel  100 E Chestnut St., Chicago IL  Hotel",12597,2012-08-07
123,2012-01-01,2012-06-30,5887,insurance,295,2012-06-01,Airfare,"Ultimate Air Shuttle Cibncinnatim, OH  Air Charter Service",12597,2012-08-07
124,2012-01-01,2012-06-30,5887,insurance,497,2012-06-26,airfare,"Delta Airlines  Atlanta, GA  Airline",12597,2012-08-07
125,2012-01-01,2012-06-30,5887,insurance,521,2012-06-28,hotel,"Hotel Allegro  171 W. Randolph, Chicago, IL   60603  hotel",12597,2012-08-07
126,2012-01-01,2012-06-30,5887,insurance,495,2012-01-12,airfare,"Ultimate Air Shuttle Cibncinnatim, OH Air Charter Service",12597,2012-08-07
127,2012-01-01,2012-06-30,5887,insurance,495,2012-01-27,airfare,"Ultimate Air Shuttle Cibncinnatim, OH Air Charter Service",12597,2012-08-07
128,2012-01-01,2012-06-30,5887,insurance,495,2012-02-10,airfare,"Ultimate Air Shuttle Cibncinnatim, OH Air Charter Service",12597,2012-08-07
129,2012-01-01,2012-06-30,5887,insurance,495,2012-04-02,airfare,"Ultimate Air Shuttle Cibncinnatim, OH Air Charter Service",12597,2012-08-07
130,2012-01-01,2012-06-30,5887,insurance,340,2012-04-03,hotel,"W Hotel  172 W. Adams, Chicago, IL  60603  hotel",12597,2012-08-07
131,2012-01-01,2012-06-30,7067,"presentation of client's parking solutions",554,2012-06-01,airfare,"United Airlines",12839,2012-08-07
132,2012-01-01,2012-06-30,5672,"meeting with Office of the Mayor to present interactive digital screen & application",700,2012-01-31,"travel and meals for self","Nicolas Clochard-Bossuet",12090,2012-08-07
133,2012-01-01,2012-06-30,5672,"meeting with Office of the Mayor to present interactive digital screen & application",456,2012-02-29,"travel and meals for self","Nicolas Clochard-Bossuet",12090,2012-08-07
134,2012-01-01,2012-06-30,5672,"meeting with Office of the Mayor to present interactive digital screen & application",714,2012-03-29,"travel and meals for self","Nicolas Clochard-Bossuet",12090,2012-08-07
135,2012-01-01,2012-06-30,5672,"meeting with Office of the Mayor to present interactive digital screen & application",1049,2012-05-03,"travel and meals for self","Nicolas Clochard-Bossuet",12090,2012-08-07
136,2012-01-01,2012-06-30,5672,"meeting with Office of the Mayor to present interactive digital screen & application",967,2012-06-20,"travel and meals for self","Nicolas Clochard-Bossuet",12090,2012-08-07
141,2012-01-01,2012-06-30,5647,"General relationship management meeting with specific focus on public finance and gaming opportunities with the City of Chicago",296,2012-02-17,"employee travel expenses","Hotel Palomar Chicago- 505 N State St., Chicago, IL  60654  Hotel",12039,2012-08-08
161,2012-01-01,2012-06-30,7012,"Wrigley rooftop issues",1500,2012-04-24,"travel / lodging","Dan Finkel",14244,2012-08-09
181,2012-01-01,2012-06-30,7736,"Public Safety Education (Speed Cameras)",558,2012-01-25,airfare,"Southwest Airlines",14759,2012-08-10
182,2012-01-01,2012-06-30,7736,"Public Safety Education (Speed Cameras)",588,2012-02-27,airfare,"Southwest Airlines",14759,2012-08-10
183,2012-01-01,2012-06-30,7736,"Public Safety Education (Speed Cameras)",588,2012-03-13,airfare,"Southwest Airlines",14759,2012-08-10
